plot,date,E1,E2,E3,W1,W2,W3
1,2016-05-09,,,,,,
2,2016-05-09,,,,,,
1_2_C,2016-05-09,,,,,,
5,2016-05-09,,,,,,
6,2016-05-09,,,,,,
5_6_C,2016-05-09,,,,,,
7,2016-05-09,,,,,,
8,2016-05-09,,,,,,
7_8_C,2016-05-09,,,,,,
11,2016-05-09,,,,,,
12,2016-05-09,,,,,,
11_12_C,2016-05-09,,,,,,
13,2016-05-09,,,,,,
14,2016-05-09,,,,,,
13_14_C,2016-05-09,,,,,,
15,2016-05-09,,,,,,
16,2016-05-09,,,,,,
15_16_C,2016-05-09,,,,,,
17,2016-05-09,,,,,,
18,2016-05-09,,,,,,
17_18_C,2016-05-09,,,,,,
19,2016-05-09,,,,,,
20,2016-05-09,,,,,,
19_20_C,2016-05-09,,,,,,
